,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
실질임금_증가율,3,2.1,1.1,2.3,2.8,1.3,3.7,3,0.5,2,-0.2,-1.1
노동생산성지수_증가율,0.5,-0.9,-2.6,-3.5,2.9,3.2,1.2,0.3,2.4,8.5,0.5,-3.1
